# Dicionário DESATUALIZADO do SIH
Fonte	Tabela GDB	Descrição
SIHD	TB_AIH	AIHs
SIHD	TB_AIH_PG	AIHs PAGAS
SIHD	TB_AL	ALOCAÇÃO DE LEITOS
SIHD	TB_AUTORIZADOR	AUTORIZADORES DE AIH NOS ORGAOS EMISSORES
SIHD	TB_CEP	CEP
SIHD	TB_CESAREA	PERCENTUAIS AUTORIZADOS PARA CESARIANA POR CNES DE CADA ORGAO EMISSOR
SIHD	TB_CID	CODIGO INTERNACIONAL DE DOENÇAS
SIHD	TB_C_D	"TABELA GENERICA DE CODIGO E DESCRICAO. A CHAVE C_D_CO_TAB = ‘0099’ POSSUI O INDICE DAS TABELAS. VER TABELAS CONTIDAS EM TB_C_D"
SIHD	TB_ERR	ERROS DA AIH
SIHD	TB_FAIXA_AIH	FAIXAS DE USO DA NUMERACAO DA AIH POR ORGAO EMISSOR DO GESTOR
SIHD	TB_FOP	FORNECEDORES DE ÓRTESE E PRÓTESE
SIHD	TB_GESTOR	CADASTRO DOS GESTORES
SIHD	TB_HA	CADASTRO DOS HOSPITAIS
SIHD	TB_HAH	AIHs - HISTORICO
SIHD	TB_HALP	AIH DE LONGA PERMANENCIA (IDENTIFICADOR 1) - HISTORICO
SIHD	TB_HAP	AIHs PAGAS - HISTORICO
SIHD	TB_HER	ERROS DA AIH - HISTORICO
SIHD	TB_HLH	HISTORICO DOS VALORES PAGOS AO HOSPITAL
SIHD	TB_HLOTE	LOTES DE MOVIMENTO DE AIH - HISTORICO
SIHD	TB_HLOTE_DETALHE	DETALHES DE LOTES DE MOVIMENTO DE AIH - HISTORICO
SIHD	TB_HLT	HISTORICO DOS VALORES PAGOS AOS TERCEIROS
SIHD	TB_HPE	PROCEDIMENTOS ESPECIAIS DA AIH - HISTORICO
SIHD	TB_HPLP	PARCELAMENTO DE AIH DE LONGA PERMANÊNCIA - HISTORICO
SIHD	TB_HRC	REGISTRO CIVIL DA AIH - HISTORICO
SIHD	TB_HSP	VALORES DE SERVICO PROFISSIONAL DA AIH - HISTORICO
SIHD	TB_HUL	UTILIZACAO DOS LEITOS HOSPITALARES POR CNES
SIHD	TB_HVA	VALORES DA AIH - HISTORICO
SIHD	TB_HVPRV	VALORES DA PRÉVIA - HISTORICO
SIHD	TB_IP	ITENS DE PROCEDIMENTO
SIHD	TB_LH	VALORES PAGOS AO HOSPITAL
SIHD	TB_LOTE	LOTES DE MOVIMENTO DE AIH
SIHD	TB_LOTE_DETALHE	DETALHES DE LOTES DE MOVIMENTO DE AIH
SIHD	TB_LT	VALORES PAGOS AOS TERCEIROS
SIHD	TB_MUN	MUNICIPIOS
SIHD	TB_OP	ORTESES E PROTESES
SIHD	TB_OP_EXCL	ORTESES E PROTESES EXCLUDENTES ENTRE SI
SIHD	TB_PE	PROCEDIMENTOS ESPECIAIS DA AIH
SIHD	TB_PLP	PARCELAMENTO DE AIH DE LONGA PERMANÊNCIA
SIHD	TB_PR	NUMEROS DE PROCESSAMENTO NO SIHD
SIHD	TB_PR_SI	HABILITAÇÕES POR ESTABELECIMENTO
SIHD	TB_RC	REGISTRO CIVIL DA AIH
SIHD	TB_RMP	TABELA QUE RELACIONA MATERIAIS DE ORTESE E PROTESE COM PROCEDIMENTOS
SIHD	TB_RPSI	COMPATIBILIDADE DE PROCEDIMENTOS COM HABILITACOES
SIHD	TB_RSTR_EXCL_MAT	MATERIAIS EXCLUDENTES ENTRE SI
SIHD	TB_SP	VALORES DE SERVICO PROFISSIONAL DA AIH
SIHD	TB_TC	CADASTRO DOS TERCEIROS
SIHD	TB_TCBR	CADASTRO DOS TERCEIROS BRASIL
SIHD	TB_TETO	TETO FINANCEIRO CADASTRADO PELOS GESTORES
SIHD	TB_UF	UNIDADES DA FEDERACAO (UF)
SIHD	TB_UL	UTILIZACAO DOS LEITOS HOSPITALARES POR CNES
SIHD	TB_VA	VALORES DA AIH
SIHD	TB_VM	VALOR DOS MATERIAIS (ORTESE E PROTESE)
SIHD	TB_VP	VALOR DOS PROCEDIMENTOS
SIHD	TB_VPD	VALOR DE DIARIA DE UTI (TIPO 1) E ACOMPANHANTE
SIHD	TB_VPRV	VALORES DA PRÉVIA
SIHD	VW_TC	VISÃO DA TABELA DE CADASTRO DOS TERCEIROS
SIHD	VW_TC_FOP	VISÃO DA TABELA DE FORNECEDORES DE ÓRTESE E PRÓTESE
