id_procedimento,procedimento,criterio_suspeita,criterio_diagnostico
703716,Mamografia Bilateral,0,0
2018735,Mamografia Diagnóstica,1,0
701867,Consulta em Ginecologia (Mastologia),0,0
2300036,Consulta em Mastologia,0,0
3100093,Ressonância Magnética de Mamas Bilateral,0,0
3105274,Ressonância Magnética de Mama Esquerda (Internados),0,0
3105275,Ressonância Magnética de Mama Direita (Internados),0,0
1407035,Ultrassonografia de Mamas Bilateral,0,0
1670021,Ultrassonografia Doppler de Mamas,0,0
228009,Ultrassonografia de Mamas Bilateral (Internados),0,0
225039,Ultrassonografia de Mamas Bilateral (Pediátrica),0,0
820029,Ultrassonografia de Mamas Bilateral para Orientar Biopsia de Mama,1,0
816013,Biópsia de Mama Guiada por Ultrassonografia,1,0
2018205,Biópsia de Mama (Lesão Palpável),1,0
820058,Biópsia de Mama por Estereotaxia,1,0
710078,Consulta para Cirurgia Plástica Reparadora de Mama,0,0
